benchmark,hit_rate,s_q,s_kv,topk,h_q,d_qk,d_v,avg_ms,tflops,tbps,fpb,status
dsa_flashmla,0,16384,16384,2048,64,576,512,48.697122192382814,95.95894393075527,0.047242540019333125,2031.1978122151322,OK
dsa_flashmla,10,14745,16384,2048,64,576,512,45.113372802734375,93.2198278995691,0.04593587043605824,2029.347153208496,OK
dsa_flashmla,20,13107,16384,2048,64,576,512,39.16085510253906,95.459674772567,0.04709313959491215,2027.0399381671352,OK
dsa_flashmla,30,11468,16384,2048,64,576,512,34.22716064453125,95.56208756155193,0.04721261973152289,2024.0793267768427,OK
dsa_flashmla,40,9830,16384,2048,64,576,512,29.545962524414062,94.89081844747247,0.0469722212249209,2020.1475674973733,OK
dsa_flashmla,50,8192,16384,2048,64,576,512,24.668280029296874,94.71524590482754,0.047012805701194885,2014.6690777576853,OK
dsa_flashmla,60,6553,16384,2048,64,576,512,20.022738647460937,93.3438063854969,0.04652067713614785,2006.5014555208654,OK
dsa_flashmla,70,4915,16384,2048,64,576,512,15.205296325683594,92.19289468973749,0.04625736407464448,1993.042546500658,OK
dsa_flashmla,80,3276,16384,2048,64,576,512,10.4233642578125,89.6406083833905,0.04558060336842796,1966.6393544382372,OK
dsa_flashmla,90,1638,16384,2048,64,576,512,5.268656921386719,88.67124272973878,0.04687889222724188,1891.4961194029852,OK
