scenario,rank,world_size,num_tokens,recv_tokens,layout_ms,dispatch_ms,combine_ms,total_ms,status
balanced,0,4,512,1024,0.07446710405678585,0.5041962409841604,0.5043302774429321,1.0829936224838783,OK
balanced,0,4,1024,2048,0.15837196568990575,0.7955613465144716,0.791125720944898,1.7450590331492755,OK
balanced,0,4,2048,4096,0.17707706885091193,1.8058808959763624,1.3383403482108285,3.3212983130381026,OK
balanced,0,4,4096,8192,0.09370141347934462,2.4471758151876513,2.4331271730620285,4.974004401729024,OK
balanced,0,4,8192,16384,0.09649324108814371,4.612708502802357,5.03370033461472,9.742902078505221,OK
