phase,timestamp,name,category,backend,M,S,shape,avg_ms,status,error
decode,2026-07-01T10:12:29.897650,absorbed_W_UV,Attention,torch.bmm,4,8192,"bmm [64,4,512]×[256]",0.007184699922800064,OK,
decode,2026-07-01T10:12:29.897650,o_proj,Attention,aiter,4,8192,"[4,16384]×[6144]",0.04463045001029968,OK,
decode,2026-07-01T10:12:29.897650,mla_decode_attn,MLA,pytorch_mla_graph_safe,4,8192,pytorch_mla batch=4 s_kv=8192,0.15835574865341187,OK,
decode,2026-07-01T10:12:29.897650,index_k_proj,DSA Indexer,aiter,4,8192,"[4,6144]×[128]",0.018265199661254884,OK,
decode,2026-07-01T10:12:29.897650,index_q_upproj,DSA Indexer,aiter,4,8192,"[4,2048]×[4096]",0.008364450186491013,OK,
decode,2026-07-01T10:12:29.897650,index_weights_proj,DSA Indexer,torch.mm,4,8192,"[4,6144]×[32]",0.005936849862337112,OK,
decode,2026-07-01T10:12:29.897650,moe_gate_proj,MoE,aiter,4,8192,"[32,6144]×[2048]",0.01945499926805496,OK,
decode,2026-07-01T10:12:29.897650,moe_up_proj,MoE,aiter,4,8192,"[32,6144]×[2048]",0.01985355019569397,OK,
decode,2026-07-01T10:12:29.897650,moe_down_proj,MoE,aiter,4,8192,"[32,2048]×[6144]",0.010375449806451798,OK,
decode,2026-07-01T10:12:29.897650,fused_qkv_a_proj,Attention,aiter,8,2048,"[8,6144]×[2624]",0.021259650588035583,OK,
decode,2026-07-01T10:12:29.897650,q_b_proj,Attention,aiter,8,2048,"[8,2048]×[16384]",0.01060980036854744,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UK,Attention,torch.bmm,8,2048,"bmm [64,8,192]×[512]",0.0057645998895168304,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UV,Attention,torch.bmm,8,2048,"bmm [64,8,512]×[256]",0.007300850003957748,OK,
decode,2026-07-01T10:12:29.897650,o_proj,Attention,aiter,8,2048,"[8,16384]×[6144]",0.046004500985145566,OK,
decode,2026-07-01T10:12:29.897650,mla_decode_attn,MLA,pytorch_mla_graph_safe,8,2048,pytorch_mla batch=8 s_kv=2048,0.3827096939086914,OK,
decode,2026-07-01T10:12:29.897650,index_k_proj,DSA Indexer,aiter,8,2048,"[8,6144]×[128]",0.018862099945545198,OK,
decode,2026-07-01T10:12:29.897650,index_q_upproj,DSA Indexer,aiter,8,2048,"[8,2048]×[4096]",0.008306399732828141,OK,
decode,2026-07-01T10:12:29.897650,index_weights_proj,DSA Indexer,torch.mm,8,2048,"[8,6144]×[32]",0.005890800058841706,OK,
decode,2026-07-01T10:12:29.897650,moe_gate_proj,MoE,aiter,8,2048,"[64,6144]×[2048]",0.022020749747753143,OK,
decode,2026-07-01T10:12:29.897650,moe_up_proj,MoE,aiter,8,2048,"[64,6144]×[2048]",0.02190060019493103,OK,
decode,2026-07-01T10:12:29.897650,moe_down_proj,MoE,aiter,8,2048,"[64,2048]×[6144]",0.010703949630260468,OK,
decode,2026-07-01T10:12:29.897650,fused_qkv_a_proj,Attention,aiter,8,8192,"[8,6144]×[2624]",0.02119555026292801,OK,
decode,2026-07-01T10:12:29.897650,q_b_proj,Attention,aiter,8,8192,"[8,2048]×[16384]",0.010513649880886078,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UK,Attention,torch.bmm,8,8192,"bmm [64,8,192]×[512]",0.005738550052046776,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UV,Attention,torch.bmm,8,8192,"bmm [64,8,512]×[256]",0.007270850241184235,OK,
decode,2026-07-01T10:12:29.897650,o_proj,Attention,aiter,8,8192,"[8,16384]×[6144]",0.045930349826812746,OK,
decode,2026-07-01T10:12:29.897650,mla_decode_attn,MLA,pytorch_mla_graph_safe,8,8192,pytorch_mla batch=8 s_kv=8192,0.30767600536346434,OK,
decode,2026-07-01T10:12:29.897650,index_k_proj,DSA Indexer,aiter,8,8192,"[8,6144]×[128]",0.018309250473976135,OK,
decode,2026-07-01T10:12:29.897650,index_q_upproj,DSA Indexer,aiter,8,8192,"[8,2048]×[4096]",0.008290349692106246,OK,
decode,2026-07-01T10:12:29.897650,index_weights_proj,DSA Indexer,torch.mm,8,8192,"[8,6144]×[32]",0.005884749814867973,OK,
decode,2026-07-01T10:12:29.897650,moe_gate_proj,MoE,aiter,8,8192,"[64,6144]×[2048]",0.022283199429512023,OK,
decode,2026-07-01T10:12:29.897650,moe_up_proj,MoE,aiter,8,8192,"[64,6144]×[2048]",0.021926650404930116,OK,
decode,2026-07-01T10:12:29.897650,moe_down_proj,MoE,aiter,8,8192,"[64,2048]×[6144]",0.010860200226306915,OK,
decode,2026-07-01T10:12:29.897650,fused_qkv_a_proj,Attention,aiter,16,2048,"[16,6144]×[2624]",0.02119555026292801,OK,
decode,2026-07-01T10:12:29.897650,q_b_proj,Attention,aiter,16,2048,"[16,2048]×[16384]",0.010842149704694748,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UK,Attention,torch.bmm,16,2048,"bmm [64,16,192]×[512]",0.005624350160360336,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UV,Attention,torch.bmm,16,2048,"bmm [64,16,512]×[256]",0.007262799888849258,OK,
decode,2026-07-01T10:12:29.897650,o_proj,Attention,aiter,16,2048,"[16,16384]×[6144]",0.049449598789215087,OK,
decode,2026-07-01T10:12:29.897650,mla_decode_attn,MLA,pytorch_mla_graph_safe,16,2048,pytorch_mla batch=16 s_kv=2048,0.7432484149932861,OK,
decode,2026-07-01T10:12:29.897650,index_k_proj,DSA Indexer,aiter,16,2048,"[16,6144]×[128]",0.018918150663375856,OK,
decode,2026-07-01T10:12:29.897650,index_q_upproj,DSA Indexer,aiter,16,2048,"[16,2048]×[4096]",0.008382499963045121,OK,
decode,2026-07-01T10:12:29.897650,index_weights_proj,DSA Indexer,torch.mm,16,2048,"[16,6144]×[32]",0.0058767501264810566,OK,
decode,2026-07-01T10:12:29.897650,moe_gate_proj,MoE,aiter,16,2048,"[128,6144]×[2048]",0.022297200560569764,OK,
decode,2026-07-01T10:12:29.897650,moe_up_proj,MoE,aiter,16,2048,"[128,6144]×[2048]",0.02223310023546219,OK,
decode,2026-07-01T10:12:29.897650,moe_down_proj,MoE,aiter,16,2048,"[128,2048]×[6144]",0.02127220034599304,OK,
decode,2026-07-01T10:12:29.897650,fused_qkv_a_proj,Attention,aiter,16,8192,"[16,6144]×[2624]",0.021289700269699098,OK,
decode,2026-07-01T10:12:29.897650,q_b_proj,Attention,aiter,16,8192,"[16,2048]×[16384]",0.010732000321149826,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UK,Attention,torch.bmm,16,8192,"bmm [64,16,192]×[512]",0.005580300092697143,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UV,Attention,torch.bmm,16,8192,"bmm [64,16,512]×[256]",0.007252799719572068,OK,
decode,2026-07-01T10:12:29.897650,o_proj,Attention,aiter,16,8192,"[16,16384]×[6144]",0.049657949805259706,OK,
decode,2026-07-01T10:12:29.897650,mla_decode_attn,MLA,pytorch_mla_graph_safe,16,8192,pytorch_mla batch=16 s_kv=8192,0.6133089542388916,OK,
decode,2026-07-01T10:12:29.897650,index_k_proj,DSA Indexer,aiter,16,8192,"[16,6144]×[128]",0.019052350521087648,OK,
decode,2026-07-01T10:12:29.897650,index_q_upproj,DSA Indexer,aiter,16,8192,"[16,2048]×[4096]",0.008302350342273713,OK,
decode,2026-07-01T10:12:29.897650,index_weights_proj,DSA Indexer,torch.mm,16,8192,"[16,6144]×[32]",0.005890800058841706,OK,
decode,2026-07-01T10:12:29.897650,moe_gate_proj,MoE,aiter,16,8192,"[128,6144]×[2048]",0.022227099537849425,OK,
decode,2026-07-01T10:12:29.897650,moe_up_proj,MoE,aiter,16,8192,"[128,6144]×[2048]",0.022970199584960938,OK,
decode,2026-07-01T10:12:29.897650,moe_down_proj,MoE,aiter,16,8192,"[128,2048]×[6144]",0.021557100117206573,OK,
decode,2026-07-01T10:12:29.897650,fused_qkv_a_proj,Attention,aiter,32,2048,"[32,6144]×[2624]",0.021872599422931672,OK,
decode,2026-07-01T10:12:29.897650,q_b_proj,Attention,aiter,32,2048,"[32,2048]×[16384]",0.014492100477218628,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UK,Attention,torch.bmm,32,2048,"bmm [64,32,192]×[512]",0.006359449774026871,OK,
